12091,11670,10183,10394
10155,10842,10728,10130
10611,10017,10756,10778
11759,11611,10087,11020
11779,11411,11846,11911
11745,11786,11701,11633
10668,11973,11378,10612
10785,12133,12213,10014
10623,11405,10804,10324
11482,10514,10965,12208
11743,12291,10840,12182
10180,11500,10352,12064
10763,11361,10334,10319
10380,12266,10867,10864
11893,11655,10092,10243
11630,10066,11218,10846
10106,11739,10007,11392
10987,11505,11405,12257
12323,10702,10611,11203
10262,12110,11425,11059
10681,10253,12089,11799
11356,11192,11403,10962
11910,11755,10481,11073
11301,11823,10387,11733
11215,11659,11638,11487
10234,10593,12210,10874
11902,10494,10189,10303
10464,11611,11683,10639
12159,12052,10985,11602
12337,11993,10025,11955
10596,10134,10029,10999
12303,11755,11170,11628
10794,10202,11013,10316
10235,10959,11008,12060
10644,10732,11773,11229
10318,12199,12136,11832
11198,10342,10967,11093
10201,10657,10983,10714
10904,11492,10799,10633
11712,10160,12037,10420
10172,10802,10343,10838
11849,11352,10042,10232
10540,11516,12148,10273
11752,11307,12177,10174
11836,11193,10116,12184
10811,11668,12138,10098
12079,11966,11726,10258
11856,11948,10249,10346
12354,11090,10310,11176
11443,10797,11804,11194
11109,10022,12268,11035
11561,12160,10913,10386
10434,10465,11147,11818
10254,10954,12241,12246
11677,10745,10776,10052
10144,10314,10328,10431
11653,10969,10227,10963
11615,11598,10368,12232
12332,10445,12138,11324
11906,10067,12027,11086
11864,10069,11825,12083
10873,11599,11666,10093
10519,11303,11184,12326
11155,11435,11455,10342
11841,10959,12112,10178
11788,11069,11789,10078
10863,10567,11417,12289
10146,12258,10564,10601
11783,10635,11554,10598
11718,11632,11010,10538
12330,12243,10742,11908
12025,10982,12299,11831
12345,11499,10992,11437
10268,10903,11002,10131
11338,11968,10199,12114
10090,10419,11575,11957
11544,10188,12305,10755
11260,10003,11245,11263
10550,10180,11172,10838
11150,11652,10924,12197
12185,11516,11771,10996
11596,11061,11923,11019
11636,10594,11965,11518
10089,11648,10456,10155
12162,10962,11890,11579
10939,11260,11990,11016
10821,11378,11535,10746
11448,11562,10898,10756
10191,10558,10950,10345
11491,11421,10001,11243
10302,11165,11512,10334
10266,12233,11406,11125
11629,11253,10586,12092
11153,10264,12036,10573
10959,12104,11420,10488
10499,10666,10012,11077
11587,11488,10808,11265
10925,11992,10492,10647
10982,11113,11298,10782
10032,11821,11160,10367
11087,12214,10334,10684
10805,11899,11031,10819
11789,10403,11908,11820
12069,10971,12213,10981
11719,10296,10888,11975
12233,11931,10923,11114
11589,11609,11777,11830
12345,11370,12041,10823
11541,12160,12245,10201
11200,11813,11861,10928
11404,10701,11319,10845
12153,12299,10389,10260
10377,10159,11422,11567
10802,10791,10798,12242
10440,11503,11863,10704
12164,10666,11641,10452
12219,12091,11166,10702
10647,11532,10251,10283
11026,10768,12354,10286
12032,12351,10407,11842
10906,11762,10090,10653
12008,10905,11537,11298
11066,12139,11901,12245
10404,10323,10124,12150
12065,10543,11348,10990
10733,11676,10145,11749
10773,11709,10490,10420
10091,10029,12323,12351
11612,10806,11031,11893
11171,11058,12067,11621
12343,11915,11004,10874
12252,11050,10444,10041
10826,10591,11907,11511
10300,11907,12145,10933
10879,10569,11987,11775
11103,11410,11815,10749
10074,10623,12118,10257
12307,10724,12268,12288
10439,10569,11026,12255
10075,12350,10326,12342
10626,10006,10856,11241
11047,12283,11885,10947
11509,12057,11163,12275
11501,11446,11013,11280
11258,10680,11701,11934
11922,11230,11877,11231
10988,10669,10033,11110
10280,12172,11729,11662
11080,12307,11583,10773
11681,10776,10944,10286
11418,12292,10849,12185
12299,11686,12226,11735
11560,12266,10414,10788
11246,10152,11546,11134
10698,12289,10234,10906
11862,12087,10133,11395
11833,10362,11085,11298
10780,11481,10285,10665
11854,10248,10338,12273
10414,12203,10514,11020
10432,11530,12301,11492
10561,10846,11573,11313
12103,12243,11750,11800
10950,11032,10667,11858
10938,10285,11332,11076
12314,11065,12174,10744
10888,11378,11364,10748
10065,11444,11843,10503
10516,10939,10365,10738
10833,10124,11999,12196
10069,10542,12188,10577
11837,12142,11309,10782
12150,12339,11516,10461
10564,10771,10287,11720
11427,11005,11167,10344
12178,11808,11371,11228
12217,11417,10922,12093
11529,10112,12204,11128
11294,11772,10842,11247
10940,11249,11029,11077
12202,12080,11478,11805
10069,11272,10593,11166
10805,10328,12025,11553
10967,11507,11563,10213
10726,12010,10367,11062
11765,10286,10436,10211
10203,10629,11592,10066
10648,12163,11146,11834
11099,10396,10635,11619
10652,12114,10269,11139
11511,11837,11324,11208
11908,10571,12265,11171
11159,10393,11027,10995
10109,10954,10226,12013
10037,11343,12151,10409
12170,10015,10523,12338
11983,10606,11048,10926
11321,11306,10148,11607
11667,10582,11762,10307
10242,11990,10329,12092
12205,10252,11380,10238
11495,11973,11381,11762
10989,11776,11269,11352
11680,10337,12287,11080
12074,12013,10071,11457
12275,11568,10146,10078
10007,11477,10030,12118
11988,11827,11350,10609
11075,12184,10045,10715
10713,11260,10117,11311
10472,12188,11997,10687
11093,11333,11997,12304
11421,11646,11360,10238
11523,10610,11853,11015
10858,11713,11815,10799
11768,10002,11189,12023
10722,11938,10491,10473
11898,11420,11341,10765
11010,11369,10744,12031
11778,10759,10730,11125
11947,10855,10894,12040
11936,11690,11543,10819
10020,11857,10323,10446
10254,11506,10023,10874
12213,10528,11543,11430
10213,10349,10546,11328
10465,10442,10967,11615
10430,12281,12262,11235
11548,12313,11346,11895
11769,11649,10841,10463
11504,10580,10781,10073
10167,10359,11376,10873
11494,10566,11400,10166
10047,11908,10816,10096
11288,10062,10298,11862
11975,11173,12077,10821
10184,10478,11690,11260
11212,12124,11970,10118
11098,11375,11235,10493
11770,11563,11413,11281
10792,11456,11964,10769
12351,10418,11708,12312
12148,10867,10763,10536
11245,11694,10976,10627
10295,10793,11147,11951
10875,10513,10520,11281
11356,11950,11117,10377
10310,11145,11073,10842
11907,12004,11455,10238
11608,10067,10880,10045
